Datum;Carbon Steel World Price;Fuel Energy Index;MSCI World;Nickel;Aluminium;SandP500;Dax30;Natural gas;Arca Steel Index;ArcelorMittal;Hang Seng China;Lead;China Steel;Iron ore;Metal Index;Gold;Crude Oil;ThyssenKrupp;Capesize Charter Rates;Car production China
Apr 07;691;121,1;1577,86;49956,58;2817,05;1420,83;6911,13;7,6;;53,39;;;;;;;;;84750;467,85
Mai 07;699;121,49;1616,87;51783,33;2804,6;1482,37;7429,93;7,64;;53,45;;;;;;;;;99000;430,3
Jun 07;691;126,74;1602,36;41551,67;2681,31;1530,62;7891,2;7,35;;60,9;;;;;;;;;82700;468,65
Jul 07;680;135,17;1565,81;33400,23;2738,09;1504,66;7969,27;6,22;;63,77;;;;;;;;;94000;546,97
Aug 07;685;130,01;1561,59;27649,64;2512,6;1455,18;7472,36;6,22;;64,29;;;;;;;;;111800;555,94
Sep 07;681;140,45;1633,58;29548,4;2394,96;1473,96;7643,64;6,07;;65,62;;;;;;;;;134250;536,7
Okt 07;690;150,53;1682,35;31156;2444,53;1527,29;7851,29;6,74;;78,79;;;;;;;;;157375;437,59
Nov 07;695;166,68;1610,94;30505,64;2507,15;1545,79;8024,41;7,11;;77,09;;;;;;;;;161600;472,54
Dez 07;706;164,7;1588,8;26053,56;2382,83;1479,63;7859,39;7,13;;73,09;;;;;;;;;160000;535,34
Jan 08;720;168,58;1466,35;27774,77;2456,13;1467,97;8045,97;7,98;;78,36;;;;;;;;;123625;559,28
Feb 08;776;176,27;1455,56;28064,95;2784,89;1378,6;6896,19;8,54;;68,65;;;;;;;;;135500;557,01
Mrz. 08;866;188,85;1437,4;31093,05;3012,05;1330,45;6692,98;9,41;;76,58;;;;;;;;;140750;650,78
Apr 08;970;202,3;1508,99;28776,82;2968,03;1326,41;6519,02;10,18;;80,53;;;;;;;;;140875;571,71
Mai 08;1044;226,24;1525,73;25656,5;2908,28;1385,97;6982,06;11,27;;89,08;;;;;;;;;161000;523,68
Jun 08;1117;243,39;1402,13;22562,57;2967,87;1399,62;7098,7;12,68;;97,35;;;;;;;;;161000;538,01
Jul 08;1160;249,4;1366,7;20106,96;3067,46;1276,69;6394,08;11,09;;94,77;;;;;;;;;158750;619,17
Aug 08;1154;217,46;1344,86;19111,8;2762,56;1269,42;6461,01;8,25;;86,89;;;;;;;;;145000;537,6
Sep 08;1041;192,02;1182,44;17781,86;2524,15;1287,83;6400,85;7,62;;73,01;;;;;;;;;100375;553,88
Okt 08;920;146,68;957,25;12144,87;2122,03;1164,17;5865,08;6,74;;48,77;;;;;;;;;30300;434,53
Nov 08;776;113,7;892,93;10776,5;1857,13;968,67;5053,94;6,7;;26,39;;;;;;;;;16625;397,41
Dez 08;676;91,55;920,23;9846,93;1504,42;888,61;4653,12;5,84;;21,91;;;;;;;;;18125;434,16
