Date,Carbon.Steel.World.Price,Fuel.Energy.Index,MSCI.World,Nickel,Aluminium,SandP500,Dax30,Natural.gas,Arca.Steel.Index,ArcelorMittal,Hang.Seng.China,Lead,China.Steel,Iron.ore,Metal.Index,Gold,Crude.Oil,ThyssenKrupp,Capesize.Charter.Rates,Car.production.China
01.05.2004,574,72.01,1042.63,11228.61,1625.27,1107.3,3972.88,6.34,NA,10.75,NA,NA,NA,NA,NA,NA,NA,NA,58000,251.28
01.06.2004,588,69.39,1062.51,13599.36,1682.04,1120.68,3924.3,6.27,NA,12.52,NA,NA,NA,NA,NA,NA,NA,NA,37375,266.11
01.07.2004,593,73.4,1026.99,15020.07,1707.87,1140.84,4078.36,5.93,NA,14.8,NA,NA,NA,NA,NA,NA,NA,NA,51500,292.14
01.08.2004,588,79.73,1029.63,13639.62,1692.1,1101.72,3891.18,5.41,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,55000,348.18
01.09.2004,632,78.63,1047.86,13430.36,1731.02,1104.24,3794.17,5.17,NA,25.25,NA,NA,NA,NA,NA,NA,NA,NA,51500,312.12
01.10.2004,638,87.84,1072.7,14378.48,1830.37,1114.58,3895.15,6.38,NA,29.1,NA,NA,NA,NA,NA,NA,NA,NA,56000,229.35
01.11.2004,651,80.19,1127.34,14089.51,1817.35,1130.2,3961.18,6.19,NA,33.5,NA,NA,NA,NA,NA,NA,NA,NA,68750,249.85
01.12.2004,653,75.26,1169.34,13764.98,1852.92,1173.78,4108.55,6.58,NA,42.8,NA,NA,NA,NA,NA,NA,NA,NA,70000,273.22
01.01.2005,646,81.68,1142.35,14563.75,1836.21,1211.92,4260.92,6.15,NA,38.7,NA,NA,NA,NA,NA,NA,NA,NA,64625,292.03
01.02.2005,635,83.88,1176.7,15415.6,1882.8,1181.27,4256.65,6.14,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,68125,292.97
01.03.2005,637,94.58,1151.18,16239.9,1987.52,1203.6,4345.24,6.65,NA,41.2,NA,NA,NA,NA,NA,NA,NA,NA,66500,351.69
01.04.2005,619,95.06,1123.64,16138.33,1892.01,1180.59,4348.03,7.18,NA,32.6,NA,NA,NA,NA,NA,NA,NA,NA,66675,324.94
01.05.2005,605,90.45,1140.68,17002.25,1741.45,1156.85,4208.63,6.47,NA,23.95,NA,NA,NA,NA,NA,NA,NA,NA,61375,266.61
01.06.2005,562,100.11,1148.81,16113.18,1731.94,1191.5,4467.32,7.18,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,43375,318.27
01.07.2005,528,104.96,1188.16,14587.6,1783.26,1191.33,4584.44,7.65,NA,23.6,NA,NA,NA,NA,NA,NA,NA,NA,39300,373.36
01.08.2005,538,114.21,1194.81,14962,1871.27,1234.18,4882.39,9.52,NA,29.02,NA,NA,NA,NA,NA,NA,NA,NA,34688,403.19
01.09.2005,568,114.72,1224.31,14154.55,1837.69,1220.33,4846.66,12.42,NA,28.75,NA,NA,NA,NA,NA,NA,NA,NA,41850,364.24
01.10.2005,567,110.14,1193.88,12431.12,1934.14,1228.81,5060.99,13.63,NA,29.4,NA,NA,NA,NA,NA,NA,NA,NA,46625,259.62
01.11.2005,559,103.71,1231.41,12235.05,2056.97,1207.01,4922.91,10.3,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,43000,303.82
01.12.2005,554,106.51,1257.78,13490.45,2250.9,1249.48,5210.54,13.05,NA,27.8,NA,NA,NA,NA,NA,NA,NA,NA,36300,363.38
